asset_id,timestamp,vibration_mm_s,temperature_c,pressure_psi,flow_rate_m3h,rpm,vibration_mm_s_roll7,vibration_mm_s_rate_of_change,temperature_c_roll7,temperature_c_rate_of_change,pressure_psi_roll7,pressure_psi_rate_of_change,flow_rate_m3h_roll7,flow_rate_m3h_rate_of_change,rpm_roll7,rpm_rate_of_change,will_fail_soon,asset_type,equipment_subtype,location,manufacturer,install_date,criticality
CMP-010,2024-01-09,2.56,80.85,333.5,1235.57,4763.33,3.37,0.16999999999999993,81.35428571428572,3.7442857142857235,352.92142857142863,19.361428571428632,1232.2428571428572,40.81285714285718,4755.597142857143,24.607142857143117,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-10,2.98,73.51,351.73,1152.98,4804.59,3.292857142857143,-0.06714285714285717,80.30285714285715,1.0628571428571405,351.8128571428571,5.287857142857149,1218.7900000000002,-0.4999999999997726,4772.827142857143,65.3421428571437,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-11,2.76,78.8,373.09,1403.33,4799.16,3.1728571428571426,-0.26714285714285735,80.75285714285714,2.7095238095238017,353.7085714285714,2.7519047619047683,1232.44,-16.34666666666658,4782.565714285714,67.24571428571471,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-12,3.18,84.98,376.09,2045.62,4817.78,3.1357142857142852,-0.3042857142857147,81.38,2.6999999999999886,356.79714285714283,4.962142857142794,1352.3585714285714,114.22107142857135,4783.898571428572,45.29607142857185,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-13,2.95,78.86,357.92,1273.35,4754.76,3.1571428571428575,-0.15485714285714236,79.72714285714285,-1.3028571428571496,359.5914285714286,10.451428571428607,1366.1414285714284,140.25742857142836,4791.265714285714,59.74571428571471,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-14,3.57,78.18,324.77,1331.13,4796.25,3.051428571428571,-0.4269047619047619,77.93285714285715,-4.715476190476181,353.79857142857145,1.9619047619048047,1377.5171428571427,147.36380952380932,4794.655714285714,56.30238095238019,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-15,2.82,85.47,334.83,1123.06,4877.99,2.974285714285714,-0.4871428571428571,80.09285714285714,-0.7985714285714351,350.2757142857143,-2.65428571428572,1366.4342857142856,140.49714285714276,4801.9800000000005,51.002857142858375,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-16,3.48,82.5,351.16,1268.36,4805.33,3.1057142857142854,-0.2642857142857147,80.32857142857142,-1.025714285714301,352.7985714285714,-0.12285714285724225,1371.1185714285714,138.87571428571414,4807.9800000000005,52.382857142857574,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-17,3.6,74.15,351.14,1164.65,4758.47,3.1942857142857144,-0.09857142857142875,80.42,0.11714285714285211,352.7142857142857,0.9014285714285961,1372.7857142857142,153.99571428571403,4801.391428571428,28.56428571428478,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-18,2.52,73.09,356.31,1239.96,4818.12,3.16,-0.012857142857142456,79.60428571428572,-1.1485714285714153,350.31714285714287,-3.3914285714285484,1349.447142857143,117.00714285714298,4804.099999999999,21.534285714285033,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-19,3.19,82.89,334.24,1217.2,4808.8,3.1614285714285715,0.025714285714286245,79.30571428571429,-2.0742857142857076,344.3385714285714,-12.458571428571418,1231.1014285714284,-121.25714285714298,4802.817142857143,18.91857142857134,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-20,3.16,78.32,357.08,1220.85,4900.28,3.1914285714285713,0.03428571428571381,79.22857142857143,-0.4985714285714238,344.2185714285714,-15.372857142857185,1223.6014285714284,-142.53999999999996,4823.605714285714,32.340000000000146,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-21,3.15,69.37,365.67,1313.61,4781.55,3.1314285714285712,0.08000000000000007,77.97,0.03714285714285381,350.06142857142856,-3.737142857142885,1221.0985714285714,-156.41857142857134,4821.505714285714,26.850000000000364,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-22,3.07,70.94,345.6,1209.15,4814.12,3.1671428571428573,0.19285714285714306,75.89428571428572,-4.198571428571427,351.59999999999997,1.3242857142856792,1233.3971428571429,-133.03714285714273,4812.381428571428,10.40142857142746,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-23,3.31,84.34,325.13,1201.6,4775.16,3.142857142857143,0.037142857142857366,76.15714285714286,-4.171428571428564,347.88142857142856,-4.917142857142835,1223.8600000000001,-147.25857142857126,4808.071428571428,0.09142857142796856,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-24,3.15,81.73,358.84,1257.98,4884.19,3.0785714285714287,-0.11571428571428566,77.24000000000001,-3.1799999999999926,348.9814285714286,-3.732857142857142,1237.1928571428573,-135.59285714285693,4826.0314285714285,24.640000000000327,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-25,2.73,75.45,356.18,1233.18,4809.63,3.108571428571429,-0.05142857142857116,77.57714285714285,-2.027142857142877,348.9628571428571,-1.3542857142857656,1236.2242857142858,-113.22285714285726,4824.818571428571,20.718571428571522,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-26,3.24,83.21,346.82,1232.97,4788.6,3.1157142857142857,-0.04571428571428582,77.62285714285714,-1.682857142857145,350.76000000000005,6.421428571428635,1238.4771428571428,7.375714285714366,4821.932857142857,19.115714285713693,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-27,2.89,80.77,342.45,1203.04,4826.69,3.077142857142857,-0.11428571428571432,77.97285714285714,-1.2557142857142907,348.67,4.4514285714286075,1235.9328571428573,12.331428571428887,4811.42,-12.185714285714312,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-28,3.69,83.23,364.45,1254.0,4837.65,3.1542857142857144,0.02285714285714313,79.95285714285714,1.9828571428571422,348.4957142857143,-1.5657142857142503,1227.4171428571428,6.318571428571431,4819.434285714286,-2.0714285714284415,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-29,3.62,79.23,362.93,1267.35,4928.62,3.2328571428571427,0.06571428571428539,81.13714285714286,5.242857142857147,350.9714285714286,-0.6285714285713766,1235.7314285714285,2.33428571428567,4835.791428571429,23.410000000000764,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-30,3.19,81.44,347.02,1180.74,4812.04,3.2157142857142857,0.07285714285714295,80.72285714285715,4.565714285714293,354.09857142857146,6.217142857142903,1232.7514285714285,8.891428571428378,4841.0599999999995,32.98857142857105,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-01-31,3.26,85.1,391.59,1316.51,4782.16,3.231428571428571,0.15285714285714214,81.2042857142857,3.964285714285694,358.7771428571428,9.795714285714212,1241.112857142857,3.919999999999618,4826.484285714286,0.4528571428572832,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-02-01,3.47,85.97,331.25,1213.67,4786.53,3.337142857142857,0.2285714285714282,82.70714285714287,5.130000000000024,355.21571428571434,6.252857142857238,1238.3257142857142,2.101428571428414,4823.184285714286,-1.6342857142853973,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-02-02,3.96,80.54,342.51,1249.54,4826.17,3.4400000000000004,0.32428571428571473,82.32571428571428,4.702857142857141,354.59999999999997,3.839999999999918,1240.6928571428573,2.215714285714512,4828.551428571429,6.618571428572068,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-02-03,3.12,73.7,361.6,1252.11,4846.38,3.472857142857143,0.3957142857142859,81.3157142857143,3.342857142857156,357.3357142857143,8.665714285714273,1247.702857142857,11.769999999999754,4831.364285714285,19.944285714284888,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-02-04,2.71,75.93,361.08,1232.57,4791.94,3.3328571428571427,0.17857142857142838,80.27285714285713,0.3199999999999932,356.85428571428565,8.358571428571338,1244.6414285714286,17.22428571428577,4824.834285714285,5.399999999999636,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-02-05,3.47,83.3,364.93,1174.49,4752.91,3.3114285714285714,0.07857142857142874,80.85428571428572,-0.28285714285713937,357.14,6.168571428571397,1231.3757142857141,-4.3557142857143845,4799.732857142857,-36.05857142857167,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-02-06,3.87,83.84,339.5,1139.54,4834.99,3.4085714285714284,0.19285714285714262,81.19714285714285,0.4742857142856991,356.0657142857143,1.9671428571428464,1225.49,-7.261428571428496,4803.011428571429,-38.04857142857054,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-02-07,3.1,80.09,330.16,1217.22,4899.06,3.385714285714286,0.15428571428571525,80.48142857142857,-0.7228571428571371,347.28999999999996,-11.487142857142828,1211.3057142857142,-29.807142857142708,4819.711428571429,-6.772857142856992,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-02-08,2.77,77.05,353.43,1237.41,4769.32,3.2857142857142856,-0.0514285714285716,79.20714285714287,-3.5,350.4585714285714,-4.757142857142924,1214.6971428571428,-23.628571428571377,4817.2528571428575,-5.931428571428114,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-02-10,2.76,83.96,348.51,1167.4,4797.17,3.114285714285714,-0.3257142857142865,79.69571428571429,-2.6299999999999955,351.3157142857143,-3.2842857142856587,1202.962857142857,-37.730000000000246,4813.11,-15.441428571429242,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
CMP-010,2024-02-11,3.15,77.32,341.15,1171.38,4718.28,3.1185714285714288,-0.3542857142857141,80.21285714285715,-1.1028571428571468,348.39428571428573,-8.94142857142856,1191.43,-56.27285714285699,4794.8099999999995,-36.55428571428547,0,Compressor,Reciprocating,Amenam Complex,Solar Turbines,2021-11-18,Medium
